pathway,NES,padj,size
Negative Regulation Of T Cell Receptor Signaling Pathway (GO:0050860),1.4503684943153288,0.20635899901390076,18
Extracellular Matrix Organization (GO:0030198),1.4498199765189193,0.0,176
Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),1.4486551558086638,0.2611103653907776,6
Tooth Mineralization (GO:0034505),1.4483748923084783,0.17830562591552734,7
Positive Regulation Of Podosome Assembly (GO:0071803),1.448237162964466,0.24368423223495483,5
Maturation Of LSU-rRNA (GO:0000470),1.4476122748746487,0.22001439332962036,20
Negative Regulation Of Interleukin-12 Production (GO:0032695),1.447454241773975,0.21885742247104645,13
Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),1.4470005789544766,0.233735129237175,12
"Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",1.446600472127643,0.2390851527452469,19
COPII Vesicle Coating (GO:0048208),1.446600472127643,0.2390851527452469,19
Angiotensin Maturation (GO:0002003),1.4462040343347475,0.2734111249446869,8
Regulation Of Angiotensin Levels In Blood (GO:0002002),1.4462040343347475,0.2734111249446869,8
Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),1.4459586412608645,0.26655223965644836,9
Maturation Of SSU-rRNA (GO:0030490),1.4453569514622753,0.21404574811458588,38
High-Density Lipoprotein Particle Assembly (GO:0034380),1.445136701598258,0.2673116624355316,9
HALLMARK_DNA_REPAIR,1.4446754401989825,0.03315972164273262,150
Positive Regulation Of Mononuclear Cell Migration (GO:0071677),1.4438415176310293,0.20189805328845978,31
Membrane Lipid Catabolic Process (GO:0046466),1.4437396826919524,0.22621417045593262,8
Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),1.443162656199914,0.20229479670524597,25
Hepoxilin Metabolic Process (GO:0051121),1.4431590124450033,0.23631179332733154,7
Hepoxilin Biosynthetic Process (GO:0051122),1.4431590124450033,0.23631179332733154,7
Chaperone-Mediated Protein Complex Assembly (GO:0051131),1.4428373406245871,0.1869211196899414,21
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),1.4428301009235098,0.23727594316005707,28
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),1.4428301009235098,0.23727594316005707,26
Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),1.442420688944223,0.20229479670524597,24
rRNA Modification (GO:0000154),1.442375763546221,0.2193601280450821,17
