pathway,NES,padj,size
Positive Regulation Of Phospholipid Biosynthetic Process (GO:0071073),1.2848652811144696,0.614517331123352,6
Thyroid Hormone Generation (GO:0006590),1.2843333895422395,0.5918066501617432,10
Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587),1.279476804087216,0.5942592024803162,9
Negative Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034115),1.279476804087216,0.5942592024803162,9
"Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome (GO:0098943)",1.276151781238037,0.6410415768623352,6
Mast Cell Mediated Immunity (GO:0002448),1.2758273285476895,0.5798766016960144,11
Heart Trabecula Formation (GO:0060347),1.274268041163931,0.6087825298309326,6
Negative Regulation Of Fatty Acid Oxidation (GO:0046322),1.2736416514889386,0.615547776222229,7
Negative Regulation Of p38MAPK Cascade (GO:1903753),1.2687280659771125,0.6087825298309326,6
Transepithelial Transport (GO:0070633),1.2686441259889751,0.5591772794723511,17
"Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)",1.265865173903339,0.6379280090332031,9
Late Nucleophagy (GO:0044805),1.2640668320843216,0.615547776222229,7
Lung Development (GO:0030324),1.2636003138654845,0.5157339572906494,33
Host-Mediated Regulation Of Intestinal Microbiota Composition (GO:0048874),1.2596640848165712,0.6362832188606262,6
Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190),1.2582009210372207,0.5847026705741882,11
Embryonic Heart Tube Morphogenesis (GO:0003143),1.2562484640427471,0.5591772794723511,42
Negative Regulation Of Small Molecule Metabolic Process (GO:0062014),1.2556262447640911,0.5354772210121155,33
Endocardial Cushion Morphogenesis (GO:0003203),1.2541956981406002,0.588314950466156,21
Sympathetic Ganglion Development (GO:0061549),1.2532108147621184,0.6188998818397522,8
Thiamine Transmembrane Transport (GO:0071934),1.2529622363422324,0.6568676829338074,5
Cell Migration Involved In Heart Development (GO:0060973),1.2523478819522844,0.6387054920196533,7
Peptidyl-Arginine Modification (GO:0018195),1.2482773860969776,0.6532173752784729,6
Axon Ensheathment In Central Nervous System (GO:0032291),1.2470967261739334,0.6380572319030762,7
Axon Extension Involved In Axon Guidance (GO:0048846),1.2413172464420954,0.6661566495895386,6
Neuron Projection Extension Involved In Neuron Projection Guidance (GO:1902284),1.2413172464420954,0.6661566495895386,6
Regulation Of Protein Glycosylation (GO:0060049),1.2412694647912268,0.6662827730178833,7
Sprouting Angiogenesis (GO:0002040),1.2400452800335147,0.5251374840736389,52
Amine Metabolic Process (GO:0009308),1.238854477414014,0.614517331123352,9
